,L8_filename,DateTime,L8_SST,L8_SST_std,L8_SST_noqc,L8_SST_raw,L8_pix
186,LC08_L1GT_159131_20160109_20200907_02_T2_071535,2016-01-09 07:15:35,-1.75,0.09,-2.08,-3.39,727
187,LC08_L1GT_159131_20180114_20200902_02_T2_071534,2018-01-14 07:15:34,,,-3.87,-5.72,0
188,LC08_L1GT_159131_20181130_20200830_02_T2_071526,2018-11-30 07:15:26,,,-8.87,-12.21,0
189,LC08_L1GT_159131_20190101_20200830_02_T2_071523,2019-01-01 07:15:23,,,-7.4,-10.31,0
190,LC08_L1GT_159131_20190202_20200829_02_T2_071517,2019-02-02 07:15:17,,,-8.59,-11.85,0
191,LC08_L1GT_160131_20131209_20200912_02_T2_072318,2013-12-09 07:23:18,,,-3.96,-5.84,0
192,LC08_L1GT_160131_20131225_20200912_02_T2_072309,2013-12-25 07:23:09,-1.9,0.0,-3.86,-5.7,4
193,LC08_L1GT_160131_20140110_20200912_02_T2_072257,2014-01-10 07:22:57,,,-3.64,-5.41,0
194,LC08_L1GT_160131_20141212_20200910_02_T2_072146,2014-12-12 07:21:46,,,-5.78,-8.2,0
195,LC08_L1GT_160131_20160116_20200907_02_T2_072147,2016-01-16 07:21:47,,,-3.1,-4.71,0
196,LC08_L1GT_160131_20161201_20200905_02_T2_072202,2016-12-01 07:22:02,,,-5.53,-7.86,0
197,LC08_L1GT_160131_20171220_20200902_02_T2_072154,2017-12-20 07:21:54,,,-7.69,-10.68,0
198,LC08_L1GT_160131_20181207_20200830_02_T2_072135,2018-12-07 07:21:35,,,-7.29,-10.15,0
199,LC08_L1GT_160131_20181223_20200829_02_T2_072134,2018-12-23 07:21:34,,,-3.95,-5.82,0
200,LC08_L1GT_160131_20190108_20200829_02_T2_072133,2019-01-08 07:21:33,,,-4.76,-6.88,0
201,LC08_L1GT_160131_20190124_20200830_02_T2_072129,2019-01-24 07:21:29,,,-5.85,-8.28,0
202,LC08_L1GT_160131_20200111_20200823_02_T2_072153,2020-01-11 07:21:53,,,-4.98,-7.16,0
203,LC08_L1GT_161131_20140117_20200912_02_T2_072901,2014-01-17 07:29:01,-1.77,0.09,-3.3,-4.98,16
204,LC08_L1GT_161131_20141203_20200910_02_T2_072803,2014-12-03 07:28:03,,,-6.31,-8.88,0
205,LC08_L1GT_161131_20141219_20200910_02_T2_072800,2014-12-19 07:28:00,,,-5.62,-7.98,0
206,LC08_L1GT_161131_20160107_20200907_02_T2_072756,2016-01-07 07:27:56,-0.95,0.26,-1.03,-2.02,1423
207,LC08_L1GT_161131_20171211_20200902_02_T2_072802,2017-12-11 07:28:02,,,-3.62,-5.39,0
208,LC08_L1GT_161131_20171227_20200902_02_T2_072803,2017-12-27 07:28:03,-1.7,0.09,-4.0,-5.88,347
209,LC08_L1GT_161131_20180112_20200902_02_T2_072757,2018-01-12 07:27:57,-1.84,0.04,-4.32,-6.29,268
210,LC08_L1GT_161131_20181214_20200830_02_T2_072744,2018-12-14 07:27:44,,,-6.59,-9.24,0
211,LC08_L1GT_161131_20190131_20200829_02_T2_072739,2019-01-31 07:27:39,,,-6.48,-9.11,0
212,LC08_L1GT_162130_20131207_20200912_02_T2_073517,2013-12-07 07:35:17,,,-8.04,-11.14,0
213,LC08_L1GT_162130_20141124_20200910_02_T2_073350,2014-11-24 07:33:50,,,-4.18,-6.12,0
214,LC08_L1GT_162130_20151127_20200908_02_T2_073348,2015-11-27 07:33:48,,,-3.78,-5.6,0
215,LC08_L1GT_162130_20151213_20200908_02_T2_073347,2015-12-13 07:33:47,-1.86,0.02,-3.6,-5.36,48
216,LC08_L1GT_162130_20161129_20200905_02_T2_073359,2016-11-29 07:33:59,,,-4.97,-7.15,0
217,LC08_L1GT_162130_20171218_20200902_02_T2_073351,2017-12-18 07:33:51,,,-5.27,-7.54,0
218,LC08_L1GT_162130_20181119_20200830_02_T2_073335,2018-11-19 07:33:35,,,-12.16,-16.48,0
219,LC08_L1GT_162130_20181205_20200830_02_T2_073333,2018-12-05 07:33:33,,,-10.95,-14.91,0
220,LC08_L1GT_162130_20181221_20200830_02_T2_073332,2018-12-21 07:33:32,,,-5.03,-7.22,0
221,LC08_L1GT_162130_20190122_20200830_02_T2_073328,2019-01-22 07:33:28,,,-7.32,-10.19,0
222,LC08_L1GT_162130_20191122_20200825_02_T2_073358,2019-11-22 07:33:58,,,-5.9,-8.35,0
223,LC08_L1GT_162130_20200109_20200824_02_T2_073351,2020-01-09 07:33:51,,,-5.01,-7.2,0
224,LC08_L1GT_162130_20201226_20210311_02_T2_073358,2020-12-26 07:33:58,,,-6.2,-8.74,0
225,LC08_L1GT_162131_20131207_20200912_02_T2_073540,2013-12-07 07:35:40,,,-7.42,-10.33,0
226,LC08_L1GT_162131_20141124_20200910_02_T2_073414,2014-11-24 07:34:14,,,-3.39,-5.09,0
227,LC08_L1GT_162131_20150111_20200910_02_T2_073406,2015-01-11 07:34:06,,,-4.11,-6.03,0
228,LC08_L1GT_162131_20151127_20200908_02_T2_073412,2015-11-27 07:34:12,,,-3.63,-5.4,0
229,LC08_L1GT_162131_20151213_20200908_02_T2_073411,2015-12-13 07:34:11,-1.86,0.02,-2.63,-4.1,48
230,LC08_L1GT_162131_20161129_20200905_02_T2_073423,2016-11-29 07:34:23,,,-4.54,-6.58,0
231,LC08_L1GT_162131_20171218_20200902_02_T2_073415,2017-12-18 07:34:15,,,-5.19,-7.42,0
232,LC08_L1GT_162131_20181119_20200830_02_T2_073359,2018-11-19 07:33:59,,,-8.8,-12.12,0
233,LC08_L1GT_162131_20181205_20200830_02_T2_073357,2018-12-05 07:33:57,,,-9.94,-13.59,0
234,LC08_L1GT_162131_20181221_20200830_02_T2_073356,2018-12-21 07:33:56,,,-5.01,-7.19,0
235,LC08_L1GT_162131_20190122_20200829_02_T2_073352,2019-01-22 07:33:52,,,-6.47,-9.09,0
