DateTime,MODIS_filename,MODIS_SST,MODIS_pix,L8_filename,L8_SST,L8_pix,time_dif
2022-03-10 15:47:02,20220310150501-JPL-L2P_GHRSST-SSTskin-MODIS_T-N-v02.0-fv01.0,,0,LC08_L1GT_010112_20220310_20220321_02_T2_154702_Cel.tif,,0,0 days 00:42:01
2022-09-18 15:47:42,20220918163501-JPL-L2P_GHRSST-SSTskin-MODIS_T-N-v02.0-fv01.0,,0,LC08_L1GT_010112_20220918_20220928_02_T2_154742_Cel.tif,,0,0 days 00:47:19
2022-11-05 15:47:42,20221105160001-JPL-L2P_GHRSST-SSTskin-MODIS_T-D-v02.0-fv01.0,-1.8037390108327551,518439,LC08_L1GT_010112_20221105_20221115_02_T2_154742_Cel.tif,-2.953232414247936,518439,0 days 00:12:19
2022-11-21 15:47:35,20221121153001-JPL-L2P_GHRSST-SSTskin-MODIS_T-D-v02.0-fv01.0,-1.7085747187560527,588228,LC08_L1GT_010112_20221121_20221129_02_T2_154735_Cel.tif,-2.9185282138520137,588228,0 days 00:17:34
2022-12-07 15:47:36,20221207150501-JPL-L2P_GHRSST-SSTskin-MODIS_T-D-v02.0-fv01.0,,0,LC08_L1GT_010112_20221207_20221213_02_T2_154736_Cel.tif,,0,0 days 00:42:35
2022-12-23 15:47:26,20221223161501-JPL-L2P_GHRSST-SSTskin-MODIS_T-D-v02.0-fv01.0,-1.5188740895549877,1698,LC08_L1GT_010112_20221223_20230103_02_T2_154726_Cel.tif,-3.1719343215892946,1698,0 days 00:27:35
2023-01-08 15:47:27,20230108154501-JPL-L2P_GHRSST-SSTskin-MODIS_T-D-v02.0-fv01.0,-0.9962808612420317,70585,LC08_L1GT_010112_20230108_20230124_02_T2_154727_Cel.tif,-1.9497951663856417,70585,0 days 00:02:26
2023-02-09 15:47:24,20230209162501-JPL-L2P_GHRSST-SSTskin-MODIS_T-N-v02.0-fv01.0,-1.066656159974282,53566,LC08_L1GT_010112_20230209_20230217_02_T2_154724_Cel.tif,-2.7138280574565488,53566,0 days 00:37:37
2023-03-13 15:47:02,20230313152001-JPL-L2P_GHRSST-SSTskin-MODIS_T-D-v02.0-fv01.0,,0,LC08_L1GT_010112_20230313_20230321_02_T2_154702_Cel.tif,,0,0 days 00:27:01
2021-09-22 15:53:32,20210922205001-JPL-L2P_GHRSST-SSTskin-MODIS_A-D-v02.0-fv01.0,,0,LC08_L1GT_011112_20210922_20210930_02_T2_155332_Cel.tif,,0,0 days 04:56:29
2021-12-27 15:53:31,20211227151500-JPL-L2P_GHRSST-SSTskin-MODIS_T-D-v02.0-fv01.0,-1.2024033057325885,269049,LC08_L1GT_011112_20211227_20220105_02_T2_155331_Cel.tif,-4.665814250839993,269049,0 days 00:38:31
2022-01-12 15:53:28,20220112165000-JPL-L2P_GHRSST-SSTskin-MODIS_T-D-v02.0-fv01.0,-1.1240128181264786,126618,LC08_L1GT_011112_20220112_20220123_02_T2_155328_Cel.tif,-2.401957958412638,126618,0 days 00:56:32
2022-02-13 15:53:19,20220213151001-JPL-L2P_GHRSST-SSTskin-MODIS_T-D-v02.0-fv01.0,,0,LC08_L1GT_011112_20220213_20220222_02_T2_155319_Cel.tif,,0,0 days 00:43:18
2022-11-12 15:53:49,20221112155500-JPL-L2P_GHRSST-SSTskin-MODIS_T-D-v02.0-fv01.0,,0,LC08_L1GT_011112_20221112_20230113_02_T2_155349_Cel.tif,,0,0 days 00:01:11
2023-01-31 15:53:37,20230131151001-JPL-L2P_GHRSST-SSTskin-MODIS_T-N-v02.0-fv01.0,-0.43550916998054023,2264724,LC08_L1GT_011112_20230131_20230208_02_T2_155337_Cel.tif,-1.515083790998124,2264724,0 days 00:43:36
2021-10-31 15:59:51,20211031152000-JPL-L2P_GHRSST-SSTskin-MODIS_T-D-v02.0-fv01.0,,0,LC08_L1GT_012112_20211031_20211109_02_T2_155951_Cel.tif,,0,0 days 00:39:51
2021-12-02 15:59:47,20211202152001-JPL-L2P_GHRSST-SSTskin-MODIS_T-D-v02.0-fv01.0,-1.347570723055268,633075,LC08_L1GT_012112_20211202_20211209_02_T2_155947_Cel.tif,-2.546871139521359,633075,0 days 00:39:46
2022-01-03 15:59:40,20220103152001-JPL-L2P_GHRSST-SSTskin-MODIS_T-D-v02.0-fv01.0,,0,LC08_L1GT_012112_20220103_20220113_02_T2_155940_Cel.tif,,0,0 days 00:39:39
2022-02-04 15:59:33,20220204152000-JPL-L2P_GHRSST-SSTskin-MODIS_T-N-v02.0-fv01.0,-0.46673098870572616,691146,LC08_L1GT_012112_20220204_20220212_02_T2_155933_Cel.tif,-1.453862326809345,691146,0 days 00:39:33
2022-03-24 15:59:14,20220324151500-JPL-L2P_GHRSST-SSTskin-MODIS_T-N-v02.0-fv01.0,,0,LC08_L1GT_012112_20220324_20220329_02_T2_155914_Cel.tif,,0,0 days 00:44:14
2022-12-21 15:59:48,20221221163001-JPL-L2P_GHRSST-SSTskin-MODIS_T-D-v02.0-fv01.0,-0.9806733979682521,661984,LC08_L1GT_012112_20221221_20221228_02_T2_155948_Cel.tif,-2.146872295295897,661984,0 days 00:30:13
2023-01-22 15:59:45,20230122153001-JPL-L2P_GHRSST-SSTskin-MODIS_T-D-v02.0-fv01.0,-0.5043892809523657,262134,LC08_L1GT_012112_20230122_20230207_02_T2_155945_Cel.tif,-1.2427124566591028,262134,0 days 00:29:44
2023-02-07 15:59:46,20230207164001-JPL-L2P_GHRSST-SSTskin-MODIS_T-D-v02.0-fv01.0,,0,LC08_L1GT_012112_20230207_20230217_02_T2_155946_Cel.tif,,0,0 days 00:40:15
2023-03-11 15:59:24,20230311154000-JPL-L2P_GHRSST-SSTskin-MODIS_T-N-v02.0-fv01.0,-1.8196156898541538,17697,LC08_L1GT_012112_20230311_20230320_02_T2_155924_Cel.tif,-2.935865531151993,17697,0 days 00:19:24
2023-03-27 15:59:14,20230327164501-JPL-L2P_GHRSST-SSTskin-MODIS_T-D-v02.0-fv01.0,,0,LC08_L1GT_012112_20230327_20230405_02_T2_155914_Cel.tif,,0,0 days 00:45:47
2021-12-06 07:28:38,20211206071501-JPL-L2P_GHRSST-SSTskin-MODIS_A-D-v02.0-fv01.0,,0,LC08_L1GT_161132_20211206_20211214_02_T2_072838_Cel.tif,,0,0 days 00:13:37
2022-01-07 07:28:31,20220107071500-JPL-L2P_GHRSST-SSTskin-MODIS_A-D-v02.0-fv01.0,,0,LC08_L1GT_161132_20220107_20220114_02_T2_072831_Cel.tif,,0,0 days 00:13:31
2022-12-25 07:28:40,20221225074501-JPL-L2P_GHRSST-SSTskin-MODIS_A-D-v02.0-fv01.0,,0,LC08_L1GT_161132_20221225_20230103_02_T2_072840_Cel.tif,,0,0 days 00:16:21
2023-01-10 07:28:39,20230110072001-JPL-L2P_GHRSST-SSTskin-MODIS_T-D-v02.0-fv01.0,-1.5415253062505117,18655,LC08_L1GT_161132_20230110_20230124_02_T2_072839_Cel.tif,-4.723555937912424,18655,0 days 00:08:38
2021-12-13 07:34:48,20211213072000-JPL-L2P_GHRSST-SSTskin-MODIS_A-D-v02.0-fv01.0,-1.4880408587249,24609,LC08_L1GT_162132_20211213_20211223_02_T2_073448_Cel.tif,-2.890304731332544,24609,0 days 00:14:48
2022-11-30 07:35:01,20221130080000-JPL-L2P_GHRSST-SSTskin-MODIS_A-N-v02.0-fv01.0,-1.4986842284301316,2249769,LC08_L1GT_162132_20221130_20221206_02_T2_073501_Cel.tif,-2.641649295478784,2249769,0 days 00:24:59
2023-01-01 07:34:52,20230101074500-JPL-L2P_GHRSST-SSTskin-MODIS_T-D-v02.0-fv01.0,,0,LC08_L1GT_162132_20230101_20230110_02_T2_073452_Cel.tif,,0,0 days 00:10:08
2021-12-04 07:40:36,20211204072500-JPL-L2P_GHRSST-SSTskin-MODIS_A-N-v02.0-fv01.0,,0,LC08_L1GT_163131_20211204_20211208_02_T2_074036_Cel.tif,,0,0 days 00:15:36
2021-12-20 07:40:34,20211220072501-JPL-L2P_GHRSST-SSTskin-MODIS_A-D-v02.0-fv01.0,-1.0959481953596226,15840,LC08_L1GT_163131_20211220_20211229_02_T2_074034_Cel.tif,-2.2226679954699007,15840,0 days 00:15:33
2022-01-05 07:40:29,20220105072501-JPL-L2P_GHRSST-SSTskin-MODIS_A-N-v02.0-fv01.0,-1.112428632075607,12227,LC08_L1GT_163131_20220105_20220114_02_T2_074029_Cel.tif,-2.4566468887985775,12227,0 days 00:15:28
2022-12-07 07:40:47,20221207080501-JPL-L2P_GHRSST-SSTskin-MODIS_A-N-v02.0-fv01.0,,0,LC08_L1GT_163131_20221207_20221213_02_T2_074047_Cel.tif,,0,0 days 00:24:14
2023-01-08 07:40:38,20230108074001-JPL-L2P_GHRSST-SSTskin-MODIS_T-D-v02.0-fv01.0,-0.9382802742989864,19676,LC08_L1GT_163131_20230108_20230124_02_T2_074038_Cel.tif,-1.9649855753213175,19676,0 days 00:00:37
2021-12-27 07:46:42,20211227073500-JPL-L2P_GHRSST-SSTskin-MODIS_A-D-v02.0-fv01.0,-0.011531352309713505,1028403,LC08_L1GT_164131_20211227_20220105_02_T2_074642_Cel.tif,-1.0855652554434105,1028403,0 days 00:11:42
2022-01-12 07:46:39,20220112073500-JPL-L2P_GHRSST-SSTskin-MODIS_A-N-v02.0-fv01.0,-1.1702338657528804,308686,LC08_L1GT_164131_20220112_20220122_02_T2_074639_Cel.tif,-2.4577286372040135,308686,0 days 00:11:39
2021-12-18 07:52:56,20211218074000-JPL-L2P_GHRSST-SSTskin-MODIS_A-D-v02.0-fv01.0,,0,LC08_L1GT_165131_20211218_20211223_02_T2_075256_Cel.tif,,0,0 days 00:12:56
2022-12-21 07:53:00,20221221081001-JPL-L2P_GHRSST-SSTskin-MODIS_A-N-v02.0-fv01.0,,0,LC08_L1GT_165131_20221221_20221228_02_T2_075300_Cel.tif,,0,0 days 00:17:01
2021-12-18 07:53:20,20211218074000-JPL-L2P_GHRSST-SSTskin-MODIS_A-D-v02.0-fv01.0,,0,LC08_L1GT_165132_20211218_20211223_02_T2_075320_Cel.tif,,0,0 days 00:13:20
2022-12-21 07:53:23,20221221081001-JPL-L2P_GHRSST-SSTskin-MODIS_A-N-v02.0-fv01.0,-1.5807275761647417,2168,LC08_L1GT_165132_20221221_20221228_02_T2_075323_Cel.tif,-2.2223804336466624,2168,0 days 00:16:38
2023-01-06 07:53:24,20230106075500-JPL-L2P_GHRSST-SSTskin-MODIS_T-D-v02.0-fv01.0,,0,LC08_L1GT_165132_20230106_20230110_02_T2_075324_Cel.tif,,0,0 days 00:01:36
